summoner_id,account_id,puuid,profile_icon_id,revision_date,summoner_level
_LP5Tp8_4DSZXtdxL0MMUF0tIFD5jIGk3_Xqr0MjfsAzdMS0,EffTfzmtE2Q-EvuaEz3shggn1e6elWkyoiq9ghekaV8EDYGDy_fJ60QN,bqaHkisPiQrj2MUr6z1DHlenh6hZEBxiagZqr32a5pZx9yMgZNsCrdvZEiOVMKN3XLc7jyvZRDcM4g,5767,1725422361698,574
_lPrF6TiC6L8fqUyWP87BwG9D3nHnN3-j-UWALrb18dPpNlf,s-yzVDL-vmHnxP6tz9vQ32bqZ2we82WP6jva6-d-o0MKco65SLM50Mgu,qZVAbGjB7BndZqhIBTdB5u4Y48MrxCjReUG7ZwxkrakfPv7zEQBGRUgMX964AJZ5FYi5UOFQAiP-eg,6503,1724814986000,460
_mdR_v8f7VXQlBPPasbkWouL4lUFc7GOdPqAT56mlLtECLfRvO-iw2kKNQ,MFa6ZoDPyT4_9m4q36VElLL9hRcwHtxERAQQ1wv7DjS80UwKjB3int0e,JTZNNoee1ikMJyAjT00KyOtEpGd3N7nCC9s0usXsHW0C3OpVIJ7r0mKkyiE7M1RaG_QH9GbSHYLsZw,3001,1724587035000,36
_MV_4WmMHvHEcHzV4Hk6WjklonYkz8gfypgZhrn4wP7Nr1af,D9gLVX5EU2s6ImREx6QZyoPW9LZXZBFAG6qgmjlMNLjxP66MfDOEaKN8,clMJAJYcwHr-7g8FFm64opKqbM9SoOMLFcCLpbo6SVCwAbqdS7tieWKHAGKSglQAc3IhluZl70zPAg,5799,1722725287000,38
_Mvkmbq4zluMQ_sWj0SlFT3hjTwyGvh9Jy0agJsMpljGPbJe,-XrqwgIRsOaqs5kQOLAz2-REEFANnBqa-3Jj1viGYqg40eT6dz7qHgDC,bMD08DqZvYt2bc8zWhAK5s2JWGWiFcCya4MZIJKSMqSvwXPC3d2YLpDHcXRNAfZCghQhzFdPb9yZAg,3890,1725321301000,85
_n5VkPWM_aaZJrg5t_EZPv8BkDfHnZf53KX0LOrkWvs3bwyY,-rlazqP5rWM-q7USBTf3Ax8zgCBzRjhlAYqdwBqsy9OHYQSq3KWyiuce,q9kPi5UWLTa_uZf_saoxaglCladxdWw3h5j5IvVulKoLbK7JfFJfvKHubT6S6H8Ra1eH9X6DsCV39Q,6,1722740189000,37
_nRbxGzKCGZqpzEskuptjiuPq6d_Ix0-StxmRh1a0RgJGVW6,ODmtekbJJ2qG3Y8Qc0nEOniFQZGikHeMpo-tBwRnhYtTtFxhv4zw87io,zoPs_BDwBh_eml4Pu0PLiDtzyn-bxTrMbydWZh4uCP2qioRQzwaPmfoI3xcOjC_Aom80Ar4det-mFw,6487,1725432063522,214
_o3RuMZ1DMNHFBe21_Q_iMEkr28jrb0i2dN9HjrpZj3CHqcm,ceY3drGxj18l_IWqmxJMl3qV1euSkGAVO5v3hiMIas9-YQd6Y7V8YF3Y,jEIPlLOLcQpQSpA6CfxYeKTNQIPIkcLfEkt17naMmWYpVgQdvOPZjAAjdyJOLZQYXsgb72bXW3ofGw,5118,1725154312000,686
_ODFIDUIaiK2wnMpmBA3wwCV3GDhLwNcT36ZMOKQ-yTrTxjf,G6UYGeb5M6_TjTHQAJKexMny_TekNINCyOpRCWqCpVsl5eh_rtQY9O1h,tOGnsyrryupmANZctPDiXi5LCjMKGx1PB8HsAZGgo3xEGz0v0_5Ebr1lGVm1LvK4RKwbJm7jWHawhA,4665,1725409174891,647
_PaF-eGVsPiHzKh_hwGnNx54QiVKt9xCsaf_ai7-zVhB-efH2pCzVo0Yew,BbDLc1Om7HAYiwwLBYCWsid0_GdmE36r6i3SJNTLHxMMubpJOlv59QvE,LD_Bu3fRO6A7qt4Ol3HTiCXC7m6EpUxpTA0nM9DbP3NvBjELYIw39QuPZhgR7qNpb3_Uju8aXzc4Dw,6570,1725230974000,48
